COD_ETU;Note : TLMP1004;RÃ©sultat : TLMP1004;Session : TLMP1004;AnnÃ©e : TLMP1004;Filière;Année;Module;Semestre
19009186;10,625;V ;2;2020;MIPC;2020;TLMP1004;S1
19009217;7,167;NV;2;2020;MIPC;2020;TLMP1004;S1
19009239;1,875;NV;2;2020;MIPC;2020;TLMP1004;S1
19009240;7,267;NV;2;2020;MIPC;2020;TLMP1004;S1
19009241;11,967;V ;2;2019;MIPC;2020;TLMP1004;S1
19009262;12,167;V ;2;2020;MIPC;2020;TLMP1004;S1
19009305;12,125;V ;2;2020;MIPC;2020;TLMP1004;S1
19009373;10.3;V ;2;2020;MIPC;2020;TLMP1004;S1
19009375;10,117;V ;2;2020;MIPC;2020;TLMP1004;S1
19009383;8,979;NV;2;2020;MIPC;2020;TLMP1004;S1
19009391;0.2;NV;2;2020;MIPC;2020;TLMP1004;S1
19009480;0;NV;2;2020;MIPC;2020;TLMP1004;S1
19009529;6,083;NV;2;2020;MIPC;2020;TLMP1004;S1
19009557;5.7;NV;2;2020;MIPC;2020;TLMP1004;S1
19009565;11,167;V ;2;2020;MIPC;2020;TLMP1004;S1
19009568;10.5;V ;2;2020;MIPC;2020;TLMP1004;S1
19009578;11,167;V ;2;2020;MIPC;2020;TLMP1004;S1
19009589;11,792;V ;2;2020;MIPC;2020;TLMP1004;S1
19009608;10,417;V ;2;2020;MIPC;2020;TLMP1004;S1
19009614;10,417;V ;2;2020;MIPC;2020;TLMP1004;S1
19009628;10,625;V ;2;2020;MIPC;2020;TLMP1004;S1
19009636;9,333;NV;2;2020;MIPC;2020;TLMP1004;S1
19009678;6,625;NV;2;2020;MIPC;2020;TLMP1004;S1
19009910;10,625;V ;2;2020;MIPC;2020;TLMP1004;S1
19009917;11,979;V ;2;2020;MIPC;2020;TLMP1004;S1
19009920;11,358;V ;1;2020;MIPC;2020;TLMP1004;S1
19009921;0;NV;2;2020;MIPC;2020;TLMP1004;S1
19009927;9,167;NV;2;2020;MIPC;2020;TLMP1004;S1
19009993;11,458;V ;1;2020;MIPC;2020;TLMP1004;S1
19010072;12,425;V ;1;2020;MIPC;2020;TLMP1004;S1
19010076;11.4;V ;2;2020;MIPC;2020;TLMP1004;S1
19010117;10,958;V ;1;2020;MIPC;2020;TLMP1004;S1
19010261;10,417;V ;2;2020;MIPC;2020;TLMP1004;S1
19010265;7,625;NV;2;2020;MIPC;2020;TLMP1004;S1
19010483;7,375;NV;2;2020;MIPC;2020;TLMP1004;S1
19010548;8,925;NV;2;2020;MIPC;2020;TLMP1004;S1
19010552;10,467;V ;2;2020;MIPC;2020;TLMP1004;S1
19010664;10,333;V ;2;2020;MIPC;2020;TLMP1004;S1
19010679;10,875;V ;1;2020;MIPC;2020;TLMP1004;S1
19010683;11,042;V ;2;2020;MIPC;2020;TLMP1004;S1
19010726;10.8;V ;2;2020;MIPC;2020;TLMP1004;S1
19010775;10,208;V ;2;2020;MIPC;2020;TLMP1004;S1
19010777;11,383;V ;1;2020;MIPC;2020;TLMP1004;S1
19010793;10,583;V ;1;2020;MIPC;2020;TLMP1004;S1
19010799;11,167;V ;2;2020;MIPC;2020;TLMP1004;S1
19010804;11,583;V ;2;2020;MIPC;2020;TLMP1004;S1
19010816;1,667;NV;2;2020;MIPC;2020;TLMP1004;S1
19010820;10,833;V ;2;2020;MIPC;2020;TLMP1004;S1
19010818;10,925;V ;2;2020;MIPC;2020;TLMP1004;S1
19010827;6,417;NV;2;2020;MIPC;2020;TLMP1004;S1
19010840;10,825;V ;2;2020;MIPC;2020;TLMP1004;S1
19010841;0.2;NV;2;2020;MIPC;2020;TLMP1004;S1
19010842;10.8;V ;2;2020;MIPC;2020;TLMP1004;S1
19010880;6.8;NV;2;2020;MIPC;2020;TLMP1004;S1
19010933;11.6;V ;2;2020;MIPC;2020;TLMP1004;S1
19010934;7,917;NV;2;2020;MIPC;2020;TLMP1004;S1
19010954;12,592;V ;1;2020;MIPC;2020;TLMP1004;S1
19010966;0;NV;2;2020;MIPC;2020;TLMP1004;S1
19010967;1,833;NV;2;2020;MIPC;2020;TLMP1004;S1
19010968;8,683;NV;2;2020;MIPC;2020;TLMP1004;S1
19010976;0;NV;2;2020;MIPC;2020;TLMP1004;S1
19011114;10,292;V ;2;2020;MIPC;2020;TLMP1004;S1
19011190;11,742;V ;2;2020;MIPC;2020;TLMP1004;S1
19011279;10;V ;2;2020;MIPC;2020;TLMP1004;S1
19011828;11,167;V ;2;2020;MIPC;2020;TLMP1004;S1
19013312;0;NV;2;2020;MIPC;2020;TLMP1004;S1
20000009;12,917;V ;2;2020;MIPC;2020;TLMP1004;S1
20000013;11.2;V ;2;2020;MIPC;2020;TLMP1004;S1
20000015;0;NV;2;2020;MIPC;2020;TLMP1004;S1
20000017;10,333;V ;2;2020;MIPC;2020;TLMP1004;S1
20000019;12.5;V ;1;2020;MIPC;2020;TLMP1004;S1
20000020;15,333;V ;2;2020;MIPC;2020;TLMP1004;S1
20000047;12,367;V ;2;2020;MIPC;2020;TLMP1004;S1
20000050;10;NV;2;2020;MIPC;2020;TLMP1004;S1
20000091;9,167;NV;2;2020;MIPC;2020;TLMP1004;S1
20000095;9.2;NV;2;2020;MIPC;2020;TLMP1004;S1
20000098;4;NV;2;2020;MIPC;2020;TLMP1004;S1
20000099;3;NV;2;2020;MIPC;2020;TLMP1004;S1
20000100;15.3;V ;1;2020;MIPC;2020;TLMP1004;S1
20000102;10,167;V ;2;2020;MIPC;2020;TLMP1004;S1
20000103;12,408;V ;2;2020;MIPC;2020;TLMP1004;S1
20000104;15,383;V ;1;2020;MIPC;2020;TLMP1004;S1
20000105;6,542;NV;2;2020;MIPC;2020;TLMP1004;S1
20000109;0;NV;2;2020;MIPC;2020;TLMP1004;S1
20000110;0;NV;2;2020;MIPC;2020;TLMP1004;S1
20000112;0;NV;2;2020;MIPC;2020;TLMP1004;S1
20000117;12.6;V ;2;2020;MIPC;2020;TLMP1004;S1
20000118;4,458;NV;2;2020;MIPC;2020;TLMP1004;S1
20000119;0;NV;2;2020;MIPC;2020;TLMP1004;S1
20000120;11,667;V ;2;2020;MIPC;2020;TLMP1004;S1
20000122;11.8;V ;2;2020;MIPC;2020;TLMP1004;S1
20000164;12,417;V ;2;2020;MIPC;2020;TLMP1004;S1
20000165;12,125;V ;1;2020;MIPC;2020;TLMP1004;S1
20000166;13,167;V ;1;2020;MIPC;2020;TLMP1004;S1
20000181;9.2;NV;2;2020;MIPC;2020;TLMP1004;S1
20000183;10,583;V ;2;2020;MIPC;2020;TLMP1004;S1
20000188;9,217;NV;2;2020;MIPC;2020;TLMP1004;S1
20000189;8,917;NV;2;2020;MIPC;2020;TLMP1004;S1
20000190;13,292;V ;1;2020;MIPC;2020;TLMP1004;S1
20000191;11,833;V ;2;2020;MIPC;2020;TLMP1004;S1
20000192;11,917;V ;1;2020;MIPC;2020;TLMP1004;S1
20000193;11.6;V ;2;2020;MIPC;2020;TLMP1004;S1
20000194;13,167;V ;1;2020;MIPC;2020;TLMP1004;S1
20000195;9.5;NV;2;2020;MIPC;2020;TLMP1004;S1
20000196;9,333;NV;2;2020;MIPC;2020;TLMP1004;S1
20000198;10,417;V ;2;2020;MIPC;2020;TLMP1004;S1
20000200;0;NV;2;2020;MIPC;2020;TLMP1004;S1
20000201;10,717;V ;2;2020;MIPC;2020;TLMP1004;S1
20000202;13,083;V ;2;2020;MIPC;2020;TLMP1004;S1
20000203;10,833;V ;2;2020;MIPC;2020;TLMP1004;S1
20000204;1.2;NV;2;2020;MIPC;2020;TLMP1004;S1
20000205;10.5;V ;2;2020;MIPC;2020;TLMP1004;S1
20000220;10,983;NV;2;2020;MIPC;2020;TLMP1004;S1
20000221;10;V ;2;2020;MIPC;2020;TLMP1004;S1
20000222;12,333;V ;2;2020;MIPC;2020;TLMP1004;S1
20000223;10,083;NV;2;2020;MIPC;2020;TLMP1004;S1
20000228;12;V ;2;2020;MIPC;2020;TLMP1004;S1
20000230;12,083;V ;2;2020;MIPC;2020;TLMP1004;S1
20000231;10,433;V ;2;2020;MIPC;2020;TLMP1004;S1
20000252;8;NV;2;2020;MIPC;2020;TLMP1004;S1
20000254;12,833;V ;1;2020;MIPC;2020;TLMP1004;S1
20000258;9.2;NV;2;2020;MIPC;2020;TLMP1004;S1
20000259;9.8;NV;2;2020;MIPC;2020;TLMP1004;S1
20000260;8,458;NV;2;2020;MIPC;2020;TLMP1004;S1
20000261;11,417;V ;2;2020;MIPC;2020;TLMP1004;S1
20000267;8,708;NV;2;2020;MIPC;2020;TLMP1004;S1
20000270;10.2;V ;2;2020;MIPC;2020;TLMP1004;S1
20000272;11,833;V ;1;2020;MIPC;2020;TLMP1004;S1
20000278;8.2;NV;2;2020;MIPC;2020;TLMP1004;S1
20000279;13,292;V ;1;2020;MIPC;2020;TLMP1004;S1
20000280;10,833;V ;2;2020;MIPC;2020;TLMP1004;S1
20000281;10.5;V ;2;2020;MIPC;2020;TLMP1004;S1
20000282;12.2;V ;2;2020;MIPC;2020;TLMP1004;S1
20000287;0;NV;2;2020;MIPC;2020;TLMP1004;S1
20000290;9,583;NV;2;2020;MIPC;2020;TLMP1004;S1
20000291;13.5;V ;2;2020;MIPC;2020;TLMP1004;S1
20000292;10,917;V ;2;2020;MIPC;2020;TLMP1004;S1
20000295;9.7;NV;2;2020;MIPC;2020;TLMP1004;S1
20000296;12,883;V ;1;2020;MIPC;2020;TLMP1004;S1
20000297;12,042;V ;2;2020;MIPC;2020;TLMP1004;S1
20000299;8,433;NV;2;2020;MIPC;2020;TLMP1004;S1
20000302;10,083;V ;2;2020;MIPC;2020;TLMP1004;S1
20000303;11.7;V ;2;2020;MIPC;2020;TLMP1004;S1
20000305;13,833;V ;1;2020;MIPC;2020;TLMP1004;S1
20000315;10,233;V ;2;2020;MIPC;2020;TLMP1004;S1
20000325;10.8;V ;2;2020;MIPC;2020;TLMP1004;S1
20000326;0;NV;2;2020;MIPC;2020;TLMP1004;S1
20000329;11,042;V ;2;2020;MIPC;2020;TLMP1004;S1
20000345;13,283;V ;2;2020;MIPC;2020;TLMP1004;S1
20000346;15,917;V ;1;2020;MIPC;2020;TLMP1004;S1
20000347;0;NV;2;2020;MIPC;2020;TLMP1004;S1
20000352;11;V ;2;2020;MIPC;2020;TLMP1004;S1
