COD_ETU;Note : TLMP1104;RÃ©sultat : TLMP1104;Session : TLMP1104;AnnÃ©e : TLMP1104;Filière;Année;Module;Semestre
18002691;11.4;V  ;1;2018;MIPC;2019;TLMP1104;S1
18002696;10.8;V  ;1;2018;MIPC;2019;TLMP1104;S1
18002705;8;NV ;2;2019;MIPC;2019;TLMP1104;S1
18002712;10.2;V  ;1;2019;MIPC;2019;TLMP1104;S1
18002814;10;V  ;2;2018;MIPC;2019;TLMP1104;S1
18002883;10;V  ;2;2018;MIPC;2019;TLMP1104;S1
18002890;10;V  ;2;2018;MIPC;2019;TLMP1104;S1
18002907;10;V  ;2;2018;MIPC;2019;TLMP1104;S1
18002929;4.4;NRA;1;2019;MIPC;2019;TLMP1104;S1
18002965;10.1;V  ;1;2018;MIPC;2019;TLMP1104;S1
18002988;0;NRA;1;2019;MIPC;2019;TLMP1104;S1
18003053;10;V  ;2;2019;MIPC;2019;TLMP1104;S1
18003076;15.3;V  ;1;2018;MIPC;2019;TLMP1104;S1
18003081;7.9;AC ;2;2019;MIPC;2019;TLMP1104;S1
18003083;5;NV ;2;2019;MIPC;2019;TLMP1104;S1
18003100;10.2;V  ;1;2018;MIPC;2019;TLMP1104;S1
18003107;10;V  ;2;2018;MIPC;2019;TLMP1104;S1
18003111;4.8;NRA;1;2019;MIPC;2019;TLMP1104;S1
18003216;11.8;V  ;1;2018;MIPC;2019;TLMP1104;S1
18003245;10;V  ;2;2018;MIPC;2019;TLMP1104;S1
18003275;7.3;AC ;2;2019;MIPC;2019;TLMP1104;S1
18003299;11.6;V  ;1;2018;MIPC;2019;TLMP1104;S1
18003302;0;NRA;1;2019;MIPC;2019;TLMP1104;S1
18003319;0.3;NRA;1;2019;MIPC;2019;TLMP1104;S1
18003339;10,075;V  ;1;2018;MIPC;2019;TLMP1104;S1
18003385;12.1;V  ;1;2018;MIPC;2019;TLMP1104;S1
18003407;0;NRA;1;2019;MIPC;2019;TLMP1104;S1
18003425;10.5;V  ;1;2019;MIPC;2019;TLMP1104;S1
18003439;10;V  ;2;2018;MIPC;2019;TLMP1104;S1
18003449;10.3;V  ;1;2019;MIPC;2019;TLMP1104;S1
18003482;9.5;AC ;2;2019;MIPC;2019;TLMP1104;S1
18003487;12.4;V  ;1;2018;MIPC;2019;TLMP1104;S1
18003503;10.1;V  ;1;2019;MIPC;2019;TLMP1104;S1
18003515;5.6;NV ;2;2019;MIPC;2019;TLMP1104;S1
18003522;7.8;AC ;2;2019;MIPC;2019;TLMP1104;S1
18003531;5.8;NV ;2;2019;MIPC;2019;TLMP1104;S1
18003538;10;V  ;2;2018;MIPC;2019;TLMP1104;S1
18003574;7.6;NV ;2;2019;MIPC;2019;TLMP1104;S1
18003599;10;V  ;2;2018;MIPC;2019;TLMP1104;S1
18003606;10.1;V  ;1;2018;MIPC;2019;TLMP1104;S1
18003713;10.1;V  ;1;2018;MIPC;2019;TLMP1104;S1
18003734;10.1;V  ;1;2018;MIPC;2019;TLMP1104;S1
18003755;10;V  ;2;2019;MIPC;2019;TLMP1104;S1
18003769;10.7;V  ;1;2019;MIPC;2019;TLMP1104;S1
18003777;12.1;V  ;1;2018;MIPC;2019;TLMP1104;S1
18003823;7.2;AC ;2;2018;MIPC;2019;TLMP1104;S1
18003837;10.1;V  ;1;2018;MIPC;2019;TLMP1104;S1
18003840;11.5;V  ;1;2018;MIPC;2019;TLMP1104;S1
18003842;10.9;V  ;1;2018;MIPC;2019;TLMP1104;S1
18003851;0;NRA;1;2019;MIPC;2019;TLMP1104;S1
18003861;13.1;V  ;1;2019;MIPC;2019;TLMP1104;S1
18003863;10;V  ;2;2018;MIPC;2019;TLMP1104;S1
18003867;13.8;V  ;1;2019;MIPC;2019;TLMP1104;S1
18003880;11.4;V  ;1;2019;MIPC;2019;TLMP1104;S1
18003883;10.6;V  ;1;2019;MIPC;2019;TLMP1104;S1
18003891;11.1;V  ;1;2019;MIPC;2019;TLMP1104;S1
18003892;10;V  ;2;2019;MIPC;2019;TLMP1104;S1
18003895;10;V  ;2;2019;MIPC;2019;TLMP1104;S1
18003898;11.8;V  ;1;2019;MIPC;2019;TLMP1104;S1
