COD_ETU;Note : TLMP3504;Résultat : TLMP3504;Session : TLMP3504;Année : TLMP3504;Filière;Année;Module;Semestre
17005693;0;NRA;1;2019;MIPC;2019;TLMP3504;S3
17005695;9;NV ;2;2019;MIPC;2019;TLMP3504;S3
17005703;13276;V  ;1;2019;MIPC;2019;TLMP3504;S3
17005728;11.7;V  ;1;2018;MIPC;2019;TLMP3504;S3
17005740;10;V  ;2;2018;MIPC;2019;TLMP3504;S3
17005743;11.7;V  ;1;2018;MIPC;2019;TLMP3504;S3
17005755;10;V  ;2;2019;MIPC;2019;TLMP3504;S3
17005762;10.4;V  ;1;2018;MIPC;2019;TLMP3504;S3
17005767;10;V  ;2;2019;MIPC;2019;TLMP3504;S3
17005770;4562;NRA;1;2019;MIPC;2019;TLMP3504;S3
17005772;9;NV ;2;2019;MIPC;2019;TLMP3504;S3
17005776;10;V  ;2;2019;MIPC;2019;TLMP3504;S3
17005780;0;NRA;1;2019;MIPC;2019;TLMP3504;S3
17005786;8;AC ;2;2019;MIPC;2019;TLMP3504;S3
17005803;0;NRA;1;2019;MIPC;2019;TLMP3504;S3
17005804;10.6;V  ;1;2018;MIPC;2019;TLMP3504;S3
17005810;0.6;NRA;1;2019;MIPC;2019;TLMP3504;S3
17005824;8;NV ;2;2019;MIPC;2019;TLMP3504;S3
17005829;10.8;V  ;1;2018;MIPC;2019;TLMP3504;S3
17005831;12688;V  ;1;2019;MIPC;2019;TLMP3504;S3
17005840;12.2;V  ;1;2018;MIPC;2019;TLMP3504;S3
17005843;10;V  ;2;2019;MIPC;2019;TLMP3504;S3
17005847;12068;V  ;1;2019;MIPC;2019;TLMP3504;S3
17005857;10;V  ;2;2018;MIPC;2019;TLMP3504;S3
17005859;10538;V  ;1;2019;MIPC;2019;TLMP3504;S3
17005860;11.1;V  ;1;2018;MIPC;2019;TLMP3504;S3
17005865;11.5;V  ;1;2018;MIPC;2019;TLMP3504;S3
17005874;10013;V  ;1;2019;MIPC;2019;TLMP3504;S3
17005876;9;NV ;2;2019;MIPC;2019;TLMP3504;S3
17005877;;;;;MIPC;2019;TLMP3504;S3
17005912;12096;V  ;1;2019;MIPC;2019;TLMP3504;S3
17005937;7612;NV ;2;2019;MIPC;2019;TLMP3504;S3
17006037;10.2;V  ;1;2018;MIPC;2019;TLMP3504;S3
17006040;11312;V  ;1;2019;MIPC;2019;TLMP3504;S3
17006042;11.1;V  ;1;2018;MIPC;2019;TLMP3504;S3
17006048;10;V  ;2;2018;MIPC;2019;TLMP3504;S3
17006056;12762;V  ;1;2019;MIPC;2019;TLMP3504;S3
17006067;9.8;AC ;2;2019;MIPC;2019;TLMP3504;S3
17006072;11.4;V  ;1;2018;MIPC;2019;TLMP3504;S3
17006077;10;V  ;2;2019;MIPC;2019;TLMP3504;S3
17006080;10;V  ;2;2018;MIPC;2019;TLMP3504;S3
17006142;11176;V  ;1;2019;MIPC;2019;TLMP3504;S3
17006272;12988;V  ;1;2019;MIPC;2019;TLMP3504;S3
17006276;12938;V  ;1;2019;MIPC;2019;TLMP3504;S3
17006280;14626;V  ;1;2019;MIPC;2019;TLMP3504;S3
17006305;10312;V  ;1;2019;MIPC;2019;TLMP3504;S3
17006319;10;V  ;2;2018;MIPC;2019;TLMP3504;S3
17006767;10;V  ;2;2019;MIPC;2019;TLMP3504;S3
17006768;11126;V  ;1;2019;MIPC;2019;TLMP3504;S3
17006804;12388;V  ;1;2019;MIPC;2019;TLMP3504;S3
17007130;10;V  ;2;2019;MIPC;2019;TLMP3504;S3
17007151;9;AC ;2;2019;MIPC;2019;TLMP3504;S3
17007320;1.6;NRA;1;2019;MIPC;2019;TLMP3504;S3
