COD_ETU,Note : TLGE1104,Résultat : TLGE1104,Session : TLGE1104,Année : TLGE1104,Note : TLGE1204,Résultat : TLGE1204,Session : TLGE1204,Année : TLGE1204,Note : TLGE1304,Résultat : TLGE1304,Session : TLGE1304,Année : TLGE1304,Note : TLGE1404,Résultat : TLGE1404,Session : TLGE1404,Année : TLGE1404,Note : TLGE1504,Résultat : TLGE1504,Session : TLGE1504,Année : TLGE1504,Note : TLGE1604,Résultat : TLGE1604,Session : TLGE1604,Année : TLGE1604,Note : TLGE1004,Résultat : TLGE1004,Session : TLGE1004,Année : TLGE1004,Note : TLGE2104,Résultat : TLGE2104,Session : TLGE2104,Année : TLGE2104,Note : TLGE2204,Résultat : TLGE2204,Session : TLGE2204,Année : TLGE2204,Note : TLGE2304,Résultat : TLGE2304,Session : TLGE2304,Année : TLGE2304,Note : TLGE2404,Résultat : TLGE2404,Session : TLGE2404,Année : TLGE2404,Note : TLGE2504,Résultat : TLGE2504,Session : TLGE2504,Année : TLGE2504,Note : TLGE2604,Résultat : TLGE2604,Session : TLGE2604,Année : TLGE2604,Note : TLGE2004,Résultat : TLGE2004,Session : TLGE2004,Année : TLGE2004
19000733,10,V,2,2019,7,AC,2,2019,10.4,V,1,2019,13.2,V,1,2019,10,V,2,2019,14.5,V,1,2019,10.85,V,2,2019,14.5,V,1,2019,20,V,1,2019,16,V,1,2019,14,V,1,2019,14,V,1,2019,13,V,1,2019,15.25,V,1,2019
19000744,3.3,NRA,1,2019,3,NRA,1,2019,7.4,NV,2,2019,13.2,V,1,2019,6,NV,2,2019,10.5,V,1,2019,7233,NV,2,2019,15,V,1,2019,8,AC,2,2019,20,V,1,2019,10,V,2,2019,11,V,1,2019,12,V,1,2019,12667,V,2,2019
19000749,2975,NRA,1,2019,5.5,NV,2,2019,8.8,NV,2,2019,12.4,V,1,2019,10,V,2,2019,14.75,V,1,2019,9071,NV,2,2019,15,V,1,2019,0,NV,2,2019,18,V,1,2019,15,V,1,2019,7,NV,2,2019,15,V,1,2019,11667,NV,2,2019
19000762,0,NRA,1,2019,0,NRA,1,2019,0,NRA,1,2019,0,NRA,1,2019,0,NRA,1,2019,0,NRA,1,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019
19000763,5.6,NV,2,2019,6,NV,2,2019,10,V,2,2019,13,V,1,2019,2.6,NRA,1,2019,16,V,1,2019,8867,NV,2,2019,11,V,1,2019,14,V,1,2019,10,V,1,2019,12,V,1,2019,13,V,1,2019,13,V,1,2019,12167,V,1,2019
19000765,4.2,NRA,1,2019,2.5,NRA,1,2019,6,NV,2,2019,8.4,NV,2,2019,6,NV,2,2019,13,V,1,2019,6683,NV,2,2019,12.5,V,1,2019,14,V,1,2019,14,V,1,2019,14,V,1,2019,10,V,2,2019,14,V,1,2019,13083,V,2,2019
19000772,10,V,2,2019,7,AC,2,2019,11.2,V,1,2019,15.6,V,1,2019,11.6,V,1,2019,13.75,V,1,2019,11525,V,2,2019,14.5,V,1,2019,10,V,1,2019,16,V,1,2019,15,V,1,2019,12,V,1,2019,15,V,1,2019,13.75,V,1,2019
19000782,7,AC,2,2019,10,V,1,2019,10,V,1,2019,16,V,1,2019,11.4,V,1,2019,14,V,1,2019,11.4,V,2,2019,11.75,V,1,2019,16,V,1,2019,14,V,1,2019,10,V,1,2019,15,V,1,2019,14,V,1,2019,13458,V,1,2019
19000785,2795,NRA,1,2019,7.25,NV,2,2019,5.5,NV,2,2019,10.8,V,1,2019,5,NV,2,2019,10.75,V,1,2019,7016,NV,2,2019,12.5,V,1,2019,4,NV,2,2019,10,V,1,2019,12,V,1,2019,10,V,2,2019,13,V,1,2019,10.25,NV,2,2019
19000791,1.95,NRA,1,2019,0,NRA,1,2019,0,NRA,1,2019,0,NRA,1,2019,0,NRA,1,2019,0,NRA,1,2019,.325,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019
