COD_ETU,Note : TLGE3104,Résultat : TLGE3104,Session : TLGE3104,Année : TLGE3104,Note : TLGE3204,Résultat : TLGE3204,Session : TLGE3204,Année : TLGE3204,Note : TLGE3304,Résultat : TLGE3304,Session : TLGE3304,Année : TLGE3304,Note : TLGE3404,Résultat : TLGE3404,Session : TLGE3404,Année : TLGE3404,Note : TLGE3504,Résultat : TLGE3504,Session : TLGE3504,Année : TLGE3504,Note : TLGE3604,Résultat : TLGE3604,Session : TLGE3604,Année : TLGE3604,Note : TLGE3004,Résultat : TLGE3004,Session : TLGE3004,Année : TLGE3004,Note : TLGE4104,Résultat : TLGE4104,Session : TLGE4104,Année : TLGE4104,Note : TLGE4204,Résultat : TLGE4204,Session : TLGE4204,Année : TLGE4204,Note : TLGE4304,Résultat : TLGE4304,Session : TLGE4304,Année : TLGE4304,Note : TLGE4404,Résultat : TLGE4404,Session : TLGE4404,Année : TLGE4404,Note : TLGE4504,Résultat : TLGE4504,Session : TLGE4504,Année : TLGE4504,Note : TLGE4604,Résultat : TLGE4604,Session : TLGE4604,Année : TLGE4604,Note : TLGE4004,Résultat : TLGE4004,Session : TLGE4004,Année : TLGE4004,Note : TLMP140C,Résultat : TLMP140C,Session : TLMP140C,Année : TLMP140C,Note : TLMP240C,Résultat : TLMP240C,Session : TLMP240C,Année : TLMP240C
18005586,,,,,,,,,1.3,NRA,1,2019,.9,NRA,1,2019,2.25,NRA,1,2019,15,V,1,2019,,,1,2019,9.1,NV,2,2019,5,NV,2,2019,10,V,1,2019,13,V,1,2019,11,V,1,2019,,,,,,,1,2019,,,,,,,,
18005599,11.2,V,1,2019,7.5,NV,2,2019,10,V,2,2019,,,,,13,V,1,2019,15.5,V,1,2019,,,1,2019,,,,,,,,,10,V,2,2019,9,NV,2,2019,10,V,1,2019,,,,,,,1,2019,,,,,,,,
18005617,10,V,2,2019,5.3,NV,2,2019,,,,,,,,,7.75,NV,2,2019,12,V,1,2019,,,1,2019,13325,V,1,2019,18,V,1,2019,10.5,V,1,2019,11,V,1,2019,10,V,1,2019,12,V,1,2019,12471,V,1,2019,,,,,,,,
18005629,,,,,,,,,,,,,3.5,NRA,1,2019,10,V,2,2019,13,V,1,2019,,,1,2019,,,,,,,,,12,V,1,2019,,,,,12,V,1,2019,,,,,,,1,2019,,,,,,,,
18005635,13.45,V,1,2019,10,V,1,2019,10.1,V,1,2019,12.1,V,1,2019,12875,V,1,2019,16.5,V,1,2019,12504,V,1,2019,14.9,V,1,2019,15,V,1,2019,14.5,V,1,2019,11,V,1,2019,11,V,1,2019,10,V,1,2019,12733,V,1,2019,,,,,,,,
18005642,3325,NRA,1,2019,5.1,NV,2,2019,7,NV,2,2019,1,NRA,1,2019,2,NRA,1,2019,12.5,V,1,2019,5154,NV,2,2019,,,,,,,,,10,V,1,2019,,,,,11,V,1,2019,6,NV,2,2019,,,1,2019,,,,,,,,
18005647,7.75,NV,2,2019,,,,,,,,,7.5,NV,2,2019,,,,,13,V,1,2019,,,1,2019,,,,,,,,,10,V,2,2019,,,,,16,V,1,2019,,,,,,,1,2019,,,,,,,,
18005652,,,,,,,,,,,,,2.3,NRA,1,2019,10.25,V,1,2019,13,V,1,2019,,,1,2019,,,,,,,,,11,V,1,2019,,,,,15,V,1,2019,,,,,,,1,2019,,,,,,,,
18005654,15.5,V,1,2019,7,AC,2,2019,11.45,V,1,2019,10,V,2,2019,10125,V,1,2019,13.5,V,1,2019,11263,V,2,2019,14175,V,1,2019,14,V,1,2019,10,V,2,2019,11,V,1,2019,13,V,1,2019,12,V,1,2019,12363,V,2,2019,,,,,,,,
18005658,,,,,,,,,5.05,NV,2,2019,3.3,NRA,1,2019,8.5,NV,2,2019,13.5,V,1,2019,,,1,2019,,,,,10,V,1,2019,6,NV,2,2019,13,V,1,2019,12,V,1,2019,,,,,,,1,2019,,,,,,,,
18005749,10.25,V,1,2019,7.8,AC,2,2019,10,V,1,2019,13.6,V,1,2019,12.5,V,1,2019,16.5,V,1,2019,11775,V,2,2019,12.8,V,1,2019,14,V,1,2019,11,V,1,2019,17,V,1,2019,16,V,1,2019,16,V,1,2019,14467,V,1,2019,,,,,,,,
18005834,15.5,V,1,2019,17.2,V,1,2019,12.45,V,1,2019,16.1,V,1,2019,14125,V,1,2019,15,V,1,2019,15063,V,1,2019,10.6,V,1,2019,18,V,1,2019,10,V,1,2019,7,AC,2,2019,13,V,1,2019,12,V,1,2019,11767,V,2,2019,,,,,,,,
18005869,7.75,NV,2,2019,,,,,10.35,V,1,2019,10,V,2,2019,12375,V,1,2019,14,V,1,2019,,,1,2019,15.95,V,1,2019,18,V,1,2019,11,V,1,2019,11,V,1,2019,12,V,1,2019,16,V,1,2019,13992,V,1,2019,,,,,,,,
18005878,,,,,,,,,,,,,,,,,,,,,6,NV,2,2019,,,1,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2019,,,,,,,,
18007954,2.4,NRA,1,2019,,,,,10.15,V,1,2019,3.9,NRA,1,2019,10125,V,1,2019,13.5,V,1,2019,,,1,2019,,,,,,,,,,,,,,,,,10,V,2,2019,,,,,,,1,2019,,,,,,,,
18008916,4125,NRA,1,2019,3.3,NRA,1,2019,5.1,NV,2,2019,4.2,NRA,1,2019,6.25,NV,2,2019,16.5,V,1,2019,6579,NV,2,2019,7,AC,2,2019,13,V,1,2019,11,V,1,2019,13,V,1,2019,10,V,2,2019,10,V,1,2019,10667,V,2,2019,,,,,,,,
18008918,3.85,NRA,1,2019,,,,,,,,,8.4,NV,2,2019,10125,V,1,2019,12.5,V,1,2019,,,1,2019,,,,,,,,,,,,,,,,,10,V,2,2019,,,,,,,1,2019,,,,,,,,
18008920,,,,,1.5,NV,2,2019,,,,,.8,NRA,1,2019,,,,,,,,,,,1,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18008922,,,,,,,,,,,,,2,NRA,1,2019,7375,NV,2,2019,12.5,V,1,2019,,,1,2019,,,,,0,NRA,1,2019,,,,,,,,,0,NRA,1,2019,,,,,,,1,2019,,,,,,,,
18008927,10.6,V,1,2019,,,,,,,,,11.6,V,1,2019,,,,,13.5,V,1,2019,,,1,2019,,,,,,,,,16,V,1,2019,,,,,15,V,1,2019,10,V,1,2019,,,1,2019,,,,,,,,
18008932,10,V,2,2019,,,,,,,,,10,V,2,2019,8,NV,2,2019,14,V,1,2019,,,1,2019,15625,V,1,2019,,,,,14.5,V,1,2019,,,,,10,V,2,2019,,,,,,,1,2019,,,,,,,,
18008933,10,V,2,2019,,,,,,,,,10.2,V,1,2019,,,,,14,V,1,2019,,,1,2019,11.95,V,1,2019,,,,,10,V,1,2019,11,V,1,2019,13,V,1,2019,,,,,,,1,2019,,,,,,,,
18008938,10,V,2,2019,10,V,2,2019,12.5,V,1,2019,11.2,V,1,2019,10.75,V,1,2019,14,V,1,2019,11408,V,2,2019,10425,V,1,2019,10,V,2,2019,11,V,1,2019,9,AC,2,2019,18,V,1,2019,12,V,1,2019,11738,V,2,2019,,,,,,,,
18008939,10,V,2,2019,,,,,,,,,10,V,2,2019,7.5,NV,2,2019,0,NRA,1,2019,,,1,2019,15.4,V,1,2019,18,V,1,2019,10,V,1,2019,11,V,1,2019,10,V,1,2019,16,V,1,2019,13.4,V,1,2019,,,,,,,,
18008941,,,,,,,,,,,,,8.05,NV,2,2019,,,,,.5,NRA,1,2019,,,1,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2019,,,,,,,,
18008943,,,,,,,,,,,,,,,,,,,,,10.5,V,1,2019,,,1,2019,,,,,,,,,,,,,,,,,10,V,1,2019,,,,,,,1,2019,,,,,,,,
18008947,,,,,,,,,10,V,2,2019,8,NV,2,2019,8.25,NV,2,2019,11.5,V,1,2019,,,1,2019,,,,,,,,,,,,,10,V,2,2019,14,V,1,2019,,,,,,,1,2019,,,,,,,,
18008951,,,,,,,,,,,,,1.2,NRA,1,2019,,,,,13,V,1,2019,,,1,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2019,,,,,,,,
18008964,,,,,,,,,,,,,4.3,NRA,1,2019,,,,,10,V,1,2019,,,1,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2019,,,,,,,,
18008975,,,,,,,,,,,,,7.5,NV,2,2019,,,,,11,V,1,2019,,,1,2019,,,,,,,,,14,V,1,2019,,,,,10,V,2,2019,,,,,,,1,2019,,,,,,,,
