COD_ETU,Note : TLMI2104,Résultat : TLMI2104,Session : TLMI2104,Année : TLMI2104,Note : TLMI2204,Résultat : TLMI2204,Session : TLMI2204,Année : TLMI2204,Note : TLMI2304,Résultat : TLMI2304,Session : TLMI2304,Année : TLMI2304,Note : TLMI2404,Résultat : TLMI2404,Session : TLMI2404,Année : TLMI2404,Note : TLMI2504,Résultat : TLMI2504,Session : TLMI2504,Année : TLMI2504,Note : TLMI2604,Résultat : TLMI2604,Session : TLMI2604,Année : TLMI2604,Note : TLMI2004,Résultat : TLMI2004,Session : TLMI2004,Année : TLMI2004,Note : TLMI1104,Résultat : TLMI1104,Session : TLMI1104,Année : TLMI1104,Note : TLMI1204,Résultat : TLMI1204,Session : TLMI1204,Année : TLMI1204,Note : TLMI1304,Résultat : TLMI1304,Session : TLMI1304,Année : TLMI1304,Note : TLMI1404,Résultat : TLMI1404,Session : TLMI1404,Année : TLMI1404,Note : TLMI1504,Résultat : TLMI1504,Session : TLMI1504,Année : TLMI1504,Note : TLMI1604,Résultat : TLMI1604,Session : TLMI1604,Année : TLMI1604,Note : TLMI1004,Résultat : TLMI1004,Session : TLMI1004,Année : TLMI1004
17006283,8,AC,2,2019,10,V,2,2017,13,V,1,2019,14.5,V,1,2019,10,V,1,2019,12,V,1,2018,11.25,V,2,2019,0,NRA,1,2019,10,V,2,2018,0,NRA,1,2019,0,NRA,1,2019,10,V,2,2018,13,V,1,2018,5.5,NV,2,2019
17006307,10,V,2,2018,10,V,2,2017,14,V,1,2019,10,V,2,2017,10,V,1,2019,13,V,1,2017,11167,V,1,2019,10,V,2,2018,10,V,2,2017,7,AC,2,2018,11.8,V,1,2018,10,V,1,2017,14625,V,1,2017,10571,V,2,2018
17006316,18.1,V,1,2019,10,V,2,2019,16,V,1,2019,16,V,1,2019,10001,V,1,2018,10,V,2,2018,13.35,V,2,2019,10,V,2,2019,10,V,1,2018,10,V,2,2018,10,V,2,2018,10,V,2,2018,10,V,2,2017,10,V,2,2019
17006327,10,V,2,2018,10,V,2,2017,14,V,1,2019,10,V,2,2017,8,AC,2,2019,12.5,V,1,2017,10.75,V,2,2019,10,V,2,2018,13.5,V,1,2018,10,V,2,2018,10,V,2,2018,10,V,1,2017,14.25,V,1,2017,11292,V,2,2018
17006345,10,V,2,2019,10,V,2,2018,13,V,1,2019,16,V,1,2019,10,V,1,2019,12.5,V,1,2019,11917,V,2,2019,11.85,V,1,2019,8.5,AC,2,2019,9.5,AC,2,2019,10.9,V,1,2019,11.9,V,1,2019,10.25,V,1,2019,10483,V,2,2019
17006351,10.1,V,1,2018,10,V,1,2018,10,V,1,2019,13.5,V,1,2019,15,V,1,2019,14,V,1,2018,12.1,V,1,2019,9,AC,2,2019,10875,V,1,2019,11,V,1,2018,12.65,V,1,2018,10.5,V,1,2017,14125,V,1,2017,11358,V,2,2019
17006394,10,V,2,2018,10,V,2,2018,10,V,1,2019,10,V,2,2017,10,V,2,2019,10,V,2,2017,10,V,2,2019,7.4,NV,2,2019,10,V,1,2017,10,V,2,2018,8,NV,2,2019,8.5,NV,2,2019,13375,V,1,2017,9546,NV,2,2019
17006397,10,V,2,2018,10,V,2,2018,14,V,1,2019,10,V,2,2017,10,V,2,2019,10.5,V,1,2017,10.75,V,2,2019,10,V,2,2017,10,V,2,2017,13,V,1,2019,10,V,2,2017,10,V,2,2017,10.5,V,1,2017,10583,V,1,2019
17006399,12,V,1,2019,10,V,1,2019,17,V,1,2019,10,V,2,2018,10,V,1,2019,10,V,2,2017,11.5,V,1,2019,10,V,2,2018,10.25,V,1,2018,7,AC,2,2018,11.25,V,1,2018,10,V,2,2018,13375,V,1,2017,10313,V,2,2018
17006401,10,V,2,2018,10,V,2,2018,11,V,1,2019,14.5,V,1,2019,10,V,1,2019,12.5,V,1,2017,11333,V,1,2019,3.4,NRA,1,2019,10,V,2,2019,10,V,1,2018,10,V,2,2018,8,NV,2,2019,11625,V,1,2017,8838,NV,2,2019
