"COD_ETU","Note : TLMI2104","Résultat : TLMI2104","Session : TLMI2104","Année : TLMI2104","Note : TLMI2204","Résultat : TLMI2204","Session : TLMI2204","Année : TLMI2204","Note : TLMI2304","Résultat : TLMI2304","Session : TLMI2304","Année : TLMI2304","Note : TLMI2404","Résultat : TLMI2404","Session : TLMI2404","Année : TLMI2404","Note : TLMI2504","Résultat : TLMI2504","Session : TLMI2504","Année : TLMI2504","Note : TLMI2604","Résultat : TLMI2604","Session : TLMI2604","Année : TLMI2604","Note : TLMI2004","Résultat : TLMI2004","Session : TLMI2004","Année : TLMI2004","Note : TLMI1104","Résultat : TLMI1104","Session : TLMI1104","Année : TLMI1104","Note : TLMI1204","Résultat : TLMI1204","Session : TLMI1204","Année : TLMI1204","Note : TLMI1304","Résultat : TLMI1304","Session : TLMI1304","Année : TLMI1304","Note : TLMI1404","Résultat : TLMI1404","Session : TLMI1404","Année : TLMI1404","Note : TLMI1504","Résultat : TLMI1504","Session : TLMI1504","Année : TLMI1504","Note : TLMI1604","Résultat : TLMI1604","Session : TLMI1604","Année : TLMI1604","Note : TLMI1004","Résultat : TLMI1004","Session : TLMI1004","Année : TLMI1004"
"18011567","15.6","V","1","2019","10","V","1","2019","15","V","1","2019","12","V","1","2019","9","AC","2","2019","11.5","V","1","2019","12,183","V","2","2019","0","NRA","1","2020","10","V","1","2018","10","V","2","2020","3.5","NV","2","2020","10","V","2","2020","10","V","2","2018","7.25","NV","2","2020"
"18011568","10","V","2","2019","10","V","2","2018","11","V","1","2019","10","V","2","2018","7","AC","2","2019","17","V","1","2019","10,833","V","2","2019","10.45","V","1","2019","10","V","1","2018","10","V","1","2020","10","V","2","2019","10","V","2","2018","10","V","1","2018","10,075","V","1","2020"
"18011569","13","V","1","2018","10","V","2","2018","7","AC","2","2019","10","V","2","2018","10.8","V","1","2018","12","V","1","2018","10,467","V","2","2019","11","V","1","2018","10","V","2","2018","7","AC","2","2020","13.3","V","1","2019","10","V","1","2018","11","V","1","2018","10,383","V","2","2020"
"19000620","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NV","2","2020"
"19000875","14.8","V","1","2019","11","V","1","2019","11","V","1","2019","16","V","1","2019","10","V","2","2019","14.5","V","1","2019","12,883","V","2","2019","11,575","V","1","2020","10","V","1","2019","10","V","2","2020","10.5","V","1","2020","10.2","V","1","2019","12,375","V","1","2019","10,775","V","2","2020"
"19001254","10","V","2","2019","10.5","V","1","2019","13","V","1","2019","14","V","1","2019","10","V","1","2019","16","V","1","2019","12.25","V","2","2019","10.55","V","1","2019","10","V","2","2019","10","V","1","2020","10","V","2","2019","10","V","2","2019","14,875","V","1","2019","10,904","V","1","2020"
"19001272","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NV","2","2020"
"19001307","10.8","V","1","2019","11","V","1","2019","10","V","1","2019","10","V","1","2019","10","V","1","2019","13","V","1","2019","10.8","V","1","2019","10.95","V","1","2020","10","V","2","2019","10","V","1","2020","7.5","AC","2","2020","10","V","2","2019","11,875","V","1","2019","10,054","V","2","2020"
"19001385","10","V","2","2019","7.5","AC","2","2019","14","V","1","2019","14.5","V","1","2019","10","V","2","2019","17","V","1","2019","12,167","V","2","2019","11.45","V","1","2019","10","V","2","2019","11","V","1","2020","10","V","2","2020","10","V","1","2020","10","V","2","2019","10,408","V","2","2020"
"19001487","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NV","2","2020"
"19002804","12.4","V","1","2019","10","V","1","2019","13","V","1","2019","14","V","1","2019","10","V","2","2019","11","V","1","2019","11,733","V","2","2019","0","NRA","1","2020","0","NRA","1","2020","10.6","V","1","2019","13.25","V","1","2019","10","V","2","2019","10","V","2","2019","7,308","NV","2","2020"
"19003213","10","V","2","2019","10","V","1","2019","14","V","1","2019","10.5","V","1","2019","11","V","1","2019","14","V","1","2019","11,583","V","2","2019","7","AC","2","2020","10","V","1","2020","8","AC","2","2020","10","V","1","2020","13","V","1","2020","13","V","1","2019","10,167","V","2","2020"
"19003332","5.5","NV","2","2020","4.5","NV","2","2020",".25","NV","2","2020",".25","NV","2","2020","10","VAR","2","2020","11.5","V","1","2020","5,333","NV","2","2020","3.2","NV","2","2020","11","V","1","2020","2.5","NV","2","2020","0","NRA","1","2020","10","V","2","2020","14","V","1","2020","6,783","NV","2","2020"
"19003344","2.5","NV","2","2020","4","NV","2","2020",".25","NV","2","2020","0","NRA","1","2020","8.03","NV","2","2020","14","V","1","2020","4,797","NV","2","2020","4.3","NV","2","2020","9.5","NV","2","2020","4","NV","2","2020","6.5","NV","2","2020","10","V","1","2020","14.5","V","1","2020","8,133","NV","2","2020"
"19003667","12.9","V","1","2019","10","V","1","2019","12","V","1","2019","13","V","1","2019","10","V","2","2019","17","V","1","2019","12,483","V","2","2019","3.7","NV","2","2020","11","V","1","2020","5","NV","2","2020","6","NV","2","2020","11","V","1","2020","11,125","V","1","2019","7,971","NV","2","2020"
"19003675",".25","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020",".042","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NV","2","2020"
"19004101","13.2","V","1","2019","10","V","2","2019","10","V","2","2019","10.5","V","1","2019","10","V","2","2019","13.5","V","1","2019","11.2","V","2","2019","10,375","V","1","2020","6","NV","2","2020","9","NV","2","2020","5","NV","2","2020","10","V","1","2020","11.25","V","1","2019","8,604","NV","2","2020"
"19004113","11","V","1","2019","10","V","1","2019","10","V","2","2019","13","V","1","2019","9.03","AC","2","2020","16","V","1","2019","11,505","V","2","2020","8,175","AC","2","2020","12.75","V","1","2019","14","V","1","2020","10","V","1","2020","10","V","2","2019","14,875","V","1","2019","11,633","V","2","2020"
"19004130","13","V","1","2019","10","V","1","2019","10","V","1","2019","14.5","V","1","2019","9","AC","2","2019","13","V","1","2019","11,583","V","2","2019","10","V","2","2020","8","NV","2","2020","6.5","NV","2","2020","10","V","2","2019","10","V","2","2019","11","V","1","2019","9.25","NV","2","2020"
