"COD_ETU","Note : TLGE3104","Résultat : TLGE3104","Session : TLGE3104","Année : TLGE3104","Note : TLGE3204","Résultat : TLGE3204","Session : TLGE3204","Année : TLGE3204","Note : TLGE3304","Résultat : TLGE3304","Session : TLGE3304","Année : TLGE3304","Note : TLGE3404","Résultat : TLGE3404","Session : TLGE3404","Année : TLGE3404","Note : TLGE3504","Résultat : TLGE3504","Session : TLGE3504","Année : TLGE3504","Note : TLGE3604","Résultat : TLGE3604","Session : TLGE3604","Année : TLGE3604","Note : TLGE3004","Résultat : TLGE3004","Session : TLGE3004","Année : TLGE3004","Note : TLGE4104","Résultat : TLGE4104","Session : TLGE4104","Année : TLGE4104","Note : TLGE4204","Résultat : TLGE4204","Session : TLGE4204","Année : TLGE4204","Note : TLGE4304","Résultat : TLGE4304","Session : TLGE4304","Année : TLGE4304","Note : TLGE4404","Résultat : TLGE4404","Session : TLGE4404","Année : TLGE4404","Note : TLGE4504","Résultat : TLGE4504","Session : TLGE4504","Année : TLGE4504","Note : TLGE4604","Résultat : TLGE4604","Session : TLGE4604","Année : TLGE4604","Note : TLGE4004","Résultat : TLGE4004","Session : TLGE4004","Année : TLGE4004","Note : TLMP140C","Résultat : TLMP140C","Session : TLMP140C","Année : TLMP140C","Note : TLMP240C","Résultat : TLMP240C","Session : TLMP240C","Année : TLMP240C"
"18005455","20","V","1","2020","10.58","V","1","2020","10","V","2","2020","19.2","V","1","2020","10","V","2","2020","11.5","V","1","2019","13,547","V","2","2020","12.7","V","1","2019","15","V","1","2019","10","V","1","2019","10","V","2","2019","11","V","1","2019","10","V","1","2019","11.45","V","2","2019","","","","","","","",""
"18005462","11,675","V","1","2019","10","V","2","2020","10","V","2","2020","17.35","V","1","2020","17","V","1","2020","11.5","V","1","2019","12,921","V","2","2020","12,925","V","1","2020","10","V","2","2020","10","V","1","2020","16","V","1","2020","14","V","1","2020","12.5","V","1","2020","12,571","V","2","2020","","","","","","","",""
"18005466","5.5","NV","2","2020","5","NV","2","2020","10","V","2","2020","12.55","V","1","2020","13.5","V","1","2019","13","V","1","2019","9,925","NV","2","2020","8","AC","2","2020","13","V","1","2019","11","V","1","2020","14.5","V","1","2020","14","V","1","2019","9","AC","2","2020","11,583","V","2","2020","","","","","","","",""
"18005469","1","NV","2","2020","5","NV","2","2020","10","V","2","2020","","","","","10","V","2","2020","12","V","1","2019","","","1","2020","7,625","NV","2","2020","1","NV","2","2020","10","V","1","2019","10","V","2","2020","10","V","1","2019",".5","NV","2","2020","6,521","NV","2","2020","","","","","","","",""
"18005471","3","NV","2","2020","","","","","11.5","V","1","2020","","","","","10.5","V","1","2020","12","V","1","2019","","","1","2020","9","AC","2","2020","10","V","1","2020","12","V","1","2019","10","V","2","2020","12","V","1","2019","7","AC","2","2020","10","V","2","2020","","","","","","","",""
"18005475","13","V","1","2020","16.74","V","1","2020","14","V","1","2020","15.15","V","1","2020","15.5","V","1","2020","18","V","1","2020","15,398","V","1","2020","15,875","V","1","2020","14.9","V","1","2020","11","V","1","2020","17","V","1","2020","14.75","V","1","2020","15","V","1","2020","14,754","V","1","2020","","","","","","","",""
"18005494","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2020","2.1","NV","2","2020","1.75","NV","2","2020","15","V","1","2020","17","V","1","2020","2.5","NV","2","2020",".25","NV","2","2020","6,433","NV","2","2020","","","","","","","",""
"18005503","10","V","2","2019","7","AC","2","2019","12.05","V","1","2019","12.5","V","1","2019","10","V","2","2019","15","V","1","2019","11,092","V","2","2019","10","V","2","2019","11","V","1","2019","10","V","1","2020","13","V","1","2019","17","V","1","2019","10","V","1","2020","11,833","V","1","2020","","","","","","","",""
"18005509","13","V","1","2020","14.97","V","1","2020","11","V","1","2020","10.4","V","1","2019","10.75","V","1","2019","13.5","V","1","2019","12.27","V","1","2020","12.65","V","1","2019","13","V","1","2019","8","AC","2","2019","11","V","1","2019","10","V","2","2019","10","V","1","2019","10,775","V","2","2019","","","","","","","",""
"18005516","20","V","1","2020","16.18","V","1","2020","12","V","1","2020","16.2","V","1","2019","14.5","V","1","2020","11","V","1","2019","14.98","V","1","2020","14.4","V","1","2020","8.75","AC","2","2020","7","AC","2","2020","17.5","V","1","2020","10","V","1","2019","9.5","AC","2","2020","11,192","V","2","2020","","","","","","","",""
"18005521","","","","","","","","","0","NRA","1","2020","9","NV","2","2020","0","NRA","1","2020","10","V","1","2019","","","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NV","2","2020","","","","","","","",""
"18005530","7","AC","2","2020","8.5","AC","2","2020","10","V","2","2020","13.6","V","1","2020","10","V","2","2020","14.5","V","1","2019","10.6","V","2","2020","7","AC","2","2020","14.55","V","1","2020","11","V","1","2019","10.5","V","1","2020","12","V","1","2019","7.5","AC","2","2020","10,425","V","2","2020","","","","","","","",""
"18005537","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","11.5","V","1","2019","1,917","NV","2","2020","0","NRA","1","2020","","","","","0","NRA","1","2020","","","","","10","V","1","2019","","","","","","","1","2020","","","","","","","",""
"18005542","10","V","2","2020","7","AC","2","2020","10","V","2","2020","10","V","2","2019","10","V","2","2020","15","V","1","2019","10,333","V","2","2020","7,625","AC","2","2020","8.5","AC","2","2020","11","V","1","2019","10","V","2","2020","10","V","2","2019","7","AC","2","2020","9,021","AC","2","2020","","","","","","","",""
"18005548","10","V","2","2020","12.21","V","1","2020","7","AC","2","2020","17.35","V","1","2020","10","V","1","2019","16","V","1","2019","12,093","V","2","2020","13.2","V","1","2020","10","V","1","2020","11","V","1","2019","16.75","V","1","2020","11","V","1","2019","10","V","2","2019","11,992","V","1","2020","","","","","","","",""
"18005551","10","V","2","2019","10.86","V","1","2020","10","V","2","2019","16.6","V","1","2020","10","V","2","2019","16","V","1","2019","12,243","V","1","2020","10.3","V","1","2020","10","V","2","2020","12","V","1","2019","16","V","1","2020","11","V","1","2019","9","AC","2","2020","11,383","V","2","2020","","","","","","","",""
"18005575","9","AC","2","2020","10","V","1","2019","10","V","2","2019","12.9","V","1","2019","14","V","1","2020","16.5","V","1","2020","12,067","V","2","2020","12.65","V","1","2020","17.1","V","1","2020","13","V","1","2020","17","V","1","2020","14.5","V","1","2020","8.75","AC","2","2020","13,833","V","2","2020","","","","","","","",""
"18005580","","","","","","","","","0","NRA","1","2020","","","","","","","","","","","","","","","1","2020","","","","","0","NRA","1","2020","","","","","","","","","","","","","","","","","","","1","2020","","","","","","","",""
