"COD_ETU","Note : TLBC3104","Résultat : TLBC3104","Session : TLBC3104","Année : TLBC3104","Note : TLBC3204","Résultat : TLBC3204","Session : TLBC3204","Année : TLBC3204","Note : TLBC3304","Résultat : TLBC3304","Session : TLBC3304","Année : TLBC3304","Note : TLBC3404","Résultat : TLBC3404","Session : TLBC3404","Année : TLBC3404","Note : TLBC3504","Résultat : TLBC3504","Session : TLBC3504","Année : TLBC3504","Note : TLBC3604","Résultat : TLBC3604","Session : TLBC3604","Année : TLBC3604","Note : TLBC3004","Résultat : TLBC3004","Session : TLBC3004","Année : TLBC3004","Note : TLBC4104","Résultat : TLBC4104","Session : TLBC4104","Année : TLBC4104","Note : TLBC4204","Résultat : TLBC4204","Session : TLBC4204","Année : TLBC4204","Note : TLBC4304","Résultat : TLBC4304","Session : TLBC4304","Année : TLBC4304","Note : TLBC4404","Résultat : TLBC4404","Session : TLBC4404","Année : TLBC4404","Note : TLBC4504","Résultat : TLBC4504","Session : TLBC4504","Année : TLBC4504","Note : TLBC4604","Résultat : TLBC4604","Session : TLBC4604","Année : TLBC4604","Note : TLBC4004","Résultat : TLBC4004","Session : TLBC4004","Année : TLBC4004"
"15000369","5.5","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","","","","","0","NRA","1","2020","","","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","","","","","","","","","0","NRA","1","2020","","","1","2020"
"15000378","10","V","2","2016","0","NRA","1","2020","10","V","1","2016","10","V","2","2017","0","NRA","1","2020","10","V","2","2017","6,667","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","10.25","V","1","2016","1,708","NV","2","2020"
"15001005","6.5","NV","2","2020","7.4","NV","2","2020","10","V","2","2020","0","NRA","1","2020","","","","","7","NV","2","2020","","","1","2020","11,252","V","1","2016","13.6","V","1","2019","17","V","1","2019","10","V","2","2018","13.7","V","1","2018","10.5","V","1","2016","12,675","V","1","2019"
"15001076","10","V","2","2017","10,038","V","1","2019","10,275","V","1","2018","17.4","V","1","2019","11","V","1","2019","7","AC","2","2020","10,952","V","2","2020","16","V","1","2019","10","V","2","2018","16.7","V","1","2019","16.5","V","1","2019","13.8","V","1","2018","10.5","V","1","2016","13,917","V","1","2019"
"15003215","9,125","NV","2","2020","10","V","2","2018","10","V","2","2016","11.4","V","1","2019","10","V","2","2020","0","NRA","1","2020","8,421","NV","2","2020","10","V","1","2019","10","V","2","2017","10","V","2","2019","10","V","2","2020","10","V","2","2017","10,375","V","1","2016","10,063","V","2","2020"
"15005062","12","V","1","2017","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","2","NV","2","2020","10","V","2","2016","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","10","V","2","2017","10.75","V","1","2016","5,125","NV","2","2020"
"15005599","0","NRA","1","2020","0","NRA","1","2020","10.05","V","1","2016","0","NRA","1","2020","0","NRA","1","2020","10","V","2","2018","3,342","NV","2","2020","10","V","2","2016","0","NRA","1","2020","10","V","1","2016","0","NRA","1","2020","10","V","2","2016","10","V","2","2016","6,667","NV","2","2020"
"15005732","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","","","","","","","","","0","NRA","1","2020","","","1","2020"
"15005745","10","V","2","2020","4","NV","2","2020","10.05","V","1","2019","16.5","V","1","2019","10","V","2","2019","3","NV","2","2020","8,925","NV","2","2020","10","V","2","2016","11,253","V","1","2018","18","V","1","2019","12","V","1","2019","12.5","V","1","2017","10.5","V","1","2016","12,376","V","1","2019"
"16000053","7.75","AC","2","2020","10","V","2","2018","10","V","2","2020","10","V","2","2020","10","V","1","2020","10","V","2","2020","9,625","AC","2","2020","9","AC","2","2020","8,702","AC","2","2020","10","V","2","2019","10","V","2","2020","10","V","2","2018","12.5","V","1","2017","10,034","V","2","2020"
"16000092","4","NV","2","2020","0","NRA","1","2020","8.5","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020","10","V","1","2018","3.75","NV","2","2020","0","NRA","1","2020","13","V","1","2019","10,075","V","1","2017","10","V","2","2018","13","V","1","2019","10","V","2","2017","9,346","NV","2","2020"
"16000128","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NV","2","2020"
"16000176","0","NRA","1","2020","0","NRA","1","2020","10,075","V","1","2019","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","1,679","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","11.5","V","1","2019","0","NRA","1","2020","0","NRA","1","2020","1,917","NV","2","2020"
"16000182","10","V","2","2017","0","NRA","1","2020","10.85","V","1","2017","0","NRA","1","2020","0","NRA","1","2020","11.7","V","1","2018","5,425","NV","2","2020","10,444","V","1","2017","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","11,875","V","1","2017","12.75","V","1","2017","5,845","NV","2","2020"
"16000268","7.25","NV","2","2020","11","V","1","2020","10","V","2","2019","10","V","1","2020",".5","NV","2","2020","11.7","V","1","2019","8,408","NV","2","2020","9","AC","2","2019","10","V","2","2018","10","V","2","2019","10.25","V","1","2019","11.4","V","1","2018","10.5","V","1","2017","10,192","V","2","2019"
"16000683","0","NRA","1","2020","0","NRA","1","2020","10.05","V","1","2017","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","1,675","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NV","2","2020"
"16000815","","","","","10","V","2","2020","10","V","2","2020","8.5","NV","2","2020","1","NV","2","2020","10","V","1","2020","","","1","2020","11","V","1","2019","12","V","1","2019","15.6","V","1","2019","10","V","1","2020","10","V","2","2020","10","V","1","2018","11,433","V","2","2020"
"16000840","0","NRA","1","2020","0","NRA","1","2020","10.05","V","1","2017","0","NRA","1","2020","","","","","0","NRA","1","2020","","","1","2020","10.38","V","1","2017","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","17","V","1","2017","4,563","NV","2","2020"
"16000875","11,875","V","1","2020","10","V","2","2020","10","V","2","2018","10","V","2","2020","11","V","1","2020","10","V","2","2020","10,479","V","2","2020","12","V","1","2019","10,234","V","1","2018","17","V","1","2019","15.5","V","1","2019","10","V","2","2018","13.25","V","1","2017","12,997","V","1","2019"
"16000896","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","15.5","V","1","2019","2,583","NV","2","2020","10","V","2","2018","10","V","2","2018","0","NRA","1","2020","10","V","2","2018","10.6","V","1","2018","0","NRA","1","2020","6,767","NV","2","2020"
"16001022","10,725","V","1","2019","12.5","V","1","2020","10","V","2","2019","7","AC","2","2020","10","V","2","2019","12.8","V","1","2019","10,504","V","2","2020","10","V","2","2019","11.6","V","1","2019","10","V","1","2019","13.5","V","1","2019","15.5","V","1","2019","10","V","2","2019","11,767","V","2","2019"
"16001160","10","V","1","2018","10","V","2","2020","10","V","2","2018","10.5","V","1","2020","19","V","1","2020","10.5","V","1","2019","11,667","V","2","2020","14","V","1","2019","11.6","V","1","2019","12.2","V","1","2019","14","V","1","2019","16","V","1","2019","13","V","1","2019","13,467","V","1","2019"
"16001456","9","NV","2","2020","10","V","2","2020","10","V","2","2018","12","V","1","2019","2.5","NV","2","2020","10","V","2","2020","8,917","NV","2","2020","10,164","V","1","2018","10","V","2","2018","8","AC","2","2018","10","V","2","2018","16","V","1","2018","13.75","V","1","2017","11,319","V","2","2018"
"16001472","7.25","AC","2","2020","10","V","2","2018","10","V","2","2020","12.5","V","1","2020","8","AC","2","2020","9","AC","2","2020","9,458","AC","2","2020","10","V","2","2019","12.4","V","1","2019","10","V","2","2018","10","V","1","2019","10","V","2","2018","10","V","1","2019","10.4","V","2","2019"
"16001664","10,875","V","1","2020","10","V","2","2019","10","V","2","2020","10","V","2","2020","10.5","V","1","2020","10","V","2","2019","10,229","V","2","2020","10","V","1","2020","10","V","2","2018","10.5","V","1","2020","10","V","1","2020","10","V","2","2019","14","V","1","2020","10.75","V","1","2020"
"16002645","10","V","2","2020","11.5","V","1","2020","10","V","1","2020","0","NRA","1","2020","0","NRA","1","2020","2.5","NV","2","2020","5,667","NV","2","2020","10","V","2","2019","8.6","AC","2","2019","11.1","V","1","2019","11","V","1","2019","10","V","2","2019","10","V","2","2019","10,117","V","2","2019"
"16004450","10","V","1","2019","10","V","2","2020","10","V","2","2017","7","AC","2","2020","10.6","V","1","2018","10","V","2","2020","9.6","AC","2","2020","12","V","1","2020","10","V","2","2019","13","V","1","2019","10","V","1","2020","12.25","V","1","2019","14.5","V","1","2017","11,958","V","1","2020"
"16004640","9.5","AC","2","2018","11.45","V","1","2018","10.4","V","1","2017","13.35","V","1","2018","13.7","V","1","2018","10","V","2","2017","11.4","V","2","2018","0","NRA","1","2020","0","NRA","1","2020","10,125","V","1","2018","0","NRA","1","2020","11","V","1","2017","0","NRA","1","2020","3,521","NV","2","2020"
"16005950","0","NRA","1","2020","0","NRA","1","2020","10","V","2","2018","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","1,667","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020","10","V","2","2018","0","NRA","1","2020","10.4","V","1","2018","12.75","V","1","2017","5,525","NV","2","2020"
"16006059","10","V","2","2020","11","V","1","2020","10","V","2","2020","10","V","2","2020","7","AC","2","2020","10","V","2","2020","9,667","AC","2","2020","10","V","1","2020","10","V","2","2020","12,688","V","1","2020","11.25","V","1","2019","15","V","1","2020","10","V","2","2018","11.49","V","2","2020"
"16008684","10","V","2","2019","12","V","1","2020","10","V","2","2019","17.4","V","1","2019","10","V","2","2019","10","V","2","2020","11,567","V","2","2020","10,628","V","1","2018","10","V","2","2018","10","V","2","2018","10","V","2","2018","10","V","2","2019","13.5","V","1","2018","10,688","V","2","2019"
"17000122","8.5","AC","2","2020","10","V","2","2020","10.45","V","1","2019","13","V","1","2020","10","V","2","2020","10","V","2","2020","10,325","V","2","2020","7","AC","2","2020","10","V","1","2019","20","V","1","2019","10","V","1","2020","13","V","1","2020","13","V","1","2019","12,167","V","2","2020"
"17002219","10,875","V","1","2020","10.1","V","1","2020","10.5","V","1","2020","9","AC","2","2020","16.5","V","1","2020","10.1","V","1","2019","11,179","V","2","2020","10","V","2","2018","12.4","V","1","2019","10","V","2","2018","12","V","1","2019","10","V","2","2019","10,125","V","1","2018","10,754","V","2","2019"
"17002453","10.1","V","1","2019","10","V","2","2019","11.4","V","1","2019","10.75","V","1","2020","10","V","2","2019","14.5","V","1","2020","11,125","V","1","2020","13","V","1","2019","15.2","V","1","2019","14","V","1","2019","11.75","V","1","2019","15.5","V","1","2019","12","V","1","2019","13,575","V","1","2019"
"17002541","10.25","V","1","2018","7.5","AC","2","2019","10","V","2","2018","14.8","V","1","2019","14","V","1","2019","17.1","V","1","2019","12,275","V","2","2019","10","V","1","2020","15.6","V","1","2019","17.77","V","1","2019","14.5","V","1","2019","13","V","1","2020","15","V","1","2019","14,312","V","1","2020"
"17002558","10","V","2","2020","9","AC","2","2020","10","V","2","2019","10","V","1","2020","10.5","V","1","2020","7","AC","2","2020","9,417","AC","2","2020","10","V","1","2019","8","AC","2","2020","13.25","V","1","2020","10","V","2","2020","13","V","1","2020","15","V","1","2020","11,542","V","2","2020"
"17003102","7.5","AC","2","2020","10","V","2","2020","10","V","2","2020","11.5","V","1","2020","12,125","V","1","2019","11.7","V","1","2019","10,471","V","2","2020","14","V","1","2019","12","V","1","2019","13.3","V","1","2019","13.5","V","1","2019","10","V","2","2019","12","V","1","2019","12,467","V","2","2019"
"17003303","10","V","2","2020","10","V","2","2020","10","V","2","2019","10","V","1","2020","10","V","2","2019","10","V","2","2020","10","V","2","2020","10","V","2","2019","10","V","2","2020","12","V","1","2019","10","V","2","2020","13.5","V","1","2019","10.5","V","1","2019","11","V","2","2020"
"17004303","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","","","","","","","","","0","NRA","1","2020","","","1","2020"
"17004847","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NV","2","2020","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17004850","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020","","","","","0","NRA","1","2020","","","","","10","V","2","2018","","","1","2020"
"17004852","9.75","AC","2","2020","15","V","1","2020","10.02","V","1","2020","10.5","V","1","2020","10","V","2","2019","10","V","2","2018","10,878","V","2","2020","11","V","1","2019","11","V","1","2019","13.33","V","1","2019","15.5","V","1","2019","14","V","1","2019","12","V","1","2019","12,805","V","2","2019"
"17004892","15.25","V","1","2018","0","NRA","1","2020","10","V","2","2018","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","4,208","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NV","2","2020"
"17005130","10","V","2","2020","10","V","2","2020","10","V","2","2020","8","NV","2","2020","4","NV","2","2020","10","V","2","2020","8,667","NV","2","2020","13","V","1","2019","12.8","V","1","2019","15.6","V","1","2019","10","V","1","2020","10","V","2","2020","11","V","1","2019","12,067","V","2","2020"
"17005196","","","","","","","","","0","NRA","1","2020","0","NRA","1","2020","","","","","","","","","","","1","2020","0","NRA","1","2020","0","NRA","1","2020","","","","","","","","","","","","","0","NRA","1","2020","","","1","2020"
"17005235","12,375","V","1","2018","8,849","AC","2","2018","10,225","V","1","2018","11.5","V","1","2018","13.4","V","1","2018","16.6","V","1","2018","12,158","V","2","2018","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NV","2","2020"
"17005274","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NV","2","2020"
"17005286","9","AC","2","2020","10","V","2","2020","10.8","V","1","2019","8.5","AC","2","2020","15.5","V","1","2020","11.4","V","1","2019","10,867","V","2","2020","12","V","1","2019","15","V","1","2019","18","V","1","2019","10","V","1","2020","7,375","AC","2","2020","12.75","V","1","2019","12,521","V","2","2020"
"17005290","11.75","V","1","2020","10","V","2","2020","10","V","2","2018","10.5","V","1","2020","11.5","V","1","2020","11","V","1","2020","10,792","V","2","2020","10","V","2","2019","13.6","V","1","2019","15","V","1","2019","16.5","V","1","2019","15","V","1","2019","10.25","V","1","2018","13,392","V","2","2019"
"17005294","10","V","2","2018","0","NRA","1","2020","10","V","2","2018","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","3,333","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020","","","","","","","","","0","NRA","1","2020","10.5","V","1","2018","","","1","2020"
"17005334","10","V","2","2020","10","V","2","2020","10.8","V","1","2019","10","V","1","2020","10.1","V","1","2018","10","V","2","2020","10.15","V","2","2020","10","V","1","2019","11.4","V","1","2019","8","AC","2","2019","13","V","1","2019","12.66","V","1","2019","12,875","V","1","2018","11,323","V","2","2019"
"17005369","10","V","2","2018","0","NRA","1","2020","10.1","V","1","2018","0","NRA","1","2020","0","NRA","1","2020","12.4","V","1","2019","5,417","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","11","V","1","2019","1,833","NV","2","2020"
"17005374","11","V","1","2020","10","V","1","2020","10","V","2","2018","10","V","1","2020","9.5","AC","2","2020","7","AC","2","2020","9,583","AC","2","2020","14","V","1","2019","13.2","V","1","2019","13.3","V","1","2019","10","V","1","2019","10","V","2","2018","12","V","1","2019","12,083","V","1","2019"
"17005433","0","NRA","1","2020","","","","","0","NRA","1","2020","0","NRA","1","2020","","","","","0","NRA","1","2020","","","1","2020","","","","","","","","","","","","","","","","","","","","","0","NRA","1","2020","","","1","2020"
"17005445","13,625","V","1","2020","10","V","2","2020","10","V","2","2018","8.5","AC","2","2020","8.5","AC","2","2020","10","V","1","2019","10,104","V","2","2020","10","V","2","2019","11.6","V","1","2019","13","V","1","2019","10","V","2","2019","12.5","V","1","2019","12.5","V","1","2019","11.6","V","2","2019"
"17005485","0","NRA","1","2020","0","NRA","1","2020","10","V","2","2018","0","NRA","1","2020","","","","","0","NRA","1","2020","","","1","2020","","","","","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","","","","","0","NRA","1","2020","","","1","2020"
"17005491","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NV","2","2020","","","","","0","NRA","1","2020","","","","","","","","","","","","","0","NRA","1","2020","","","1","2020"
"17005503","9.75","NV","2","2020","10","V","2","2020","10","V","2","2019","10","V","1","2020","0","NRA","1","2020","7.5","NV","2","2020","7,875","NV","2","2020","10","V","1","2019","10.4","V","1","2019","16.7","V","1","2019","10.5","V","1","2019","0","NRA","1","2020","0","NRA","1","2020","7,933","NV","2","2020"
"17005516","10","V","2","2020","12","V","1","2020","10","V","2","2020","11","V","1","2020","4.5","NV","2","2020","3","NV","2","2020","8,417","NV","2","2020","7","AC","2","2020","10","V","2","2019","16.66","V","1","2019","10","V","1","2020","11","V","1","2019","10","V","1","2018","10,777","V","2","2020"
"17005617","10.2","V","1","2019","8.6","AC","2","2020","10","V","1","2018","9.25","AC","2","2020","12","V","1","2020","18","V","1","2020","11,342","V","2","2020","12","V","1","2019","10","V","2","2018","15.6","V","1","2019","11.5","V","1","2019","12","V","1","2019","12","V","1","2018","12,183","V","1","2019"
"17005624","6","NV","2","2020","","","","","","","","","0","NRA","1","2020","","","","",".5","NV","2","2020","","","1","2020","","","","","","","","","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","","","1","2020"
"17005654","7.5","AC","2","2020","10","V","2","2020","10","V","2","2020","8.5","AC","2","2020","10","V","2","2019","10","V","2","2020","9,333","AC","2","2020","10","V","1","2020","16.8","V","1","2019","8,063","AC","2","2020","12.25","V","1","2019","13.5","V","1","2019","10","V","2","2019","11,769","V","2","2020"
"17005665","9.25","AC","2","2020","10","V","1","2020","10","V","2","2018","7.25","AC","2","2020","11","V","1","2020","10","V","2","2018","9,583","AC","2","2020","10","V","2","2020","16.2","V","1","2019","20","V","1","2019","16.5","V","1","2019","17","V","1","2019","11,125","V","1","2018","15,138","V","2","2020"
"17005671","10","V","2","2020","","","","","10","V","2","2019","11","V","1","2020","10","V","2","2020","8.5","NV","2","2020","","","1","2020","10","V","2","2020","10","V","2","2019","10","V","2","2019","12","V","1","2020","10.5","V","1","2020","11","V","1","2019","10,583","V","2","2020"
"17005683","9.5","AC","2","2020","10","V","2","2020","10","V","2","2018","10","V","1","2020","7","AC","2","2020","10","V","1","2020","9,417","AC","2","2020","10","V","2","2018","14.4","V","1","2019","19","V","1","2019","14.5","V","1","2019","16","V","1","2019","13.5","V","1","2019","14,567","V","1","2019"
"17005707","10.7","V","1","2019","10","V","2","2020","12.4","V","1","2019","10.5","V","1","2020","10","V","2","2019","10.5","V","1","2019","10,683","V","2","2020","10","V","1","2019","10.8","V","1","2019","15.6","V","1","2019","16","V","1","2019","14.66","V","1","2019","15","V","1","2019","13,677","V","1","2019"
"17005710","5.75","NV","2","2020","2.6","NV","2","2020","10","V","2","2019","10","V","1","2020","10","V","2","2020","13.4","V","1","2019","8,625","NV","2","2020","10","V","2","2020","10.8","V","1","2019","16.7","V","1","2019","10","V","2","2020","12.5","V","1","2020","10","V","2","2020","11,667","V","2","2020"
"17005716","11,625","V","1","2018","7","AC","2","2019","11,025","V","1","2018","8.95","AC","2","2019","10,125","V","1","2019","12.5","V","1","2019","10,204","V","2","2019","10","V","2","2019","13.8","V","1","2019","1.25","NV","2","2020","12.5","V","1","2019","14","V","1","2019","13.5","V","1","2018","10,842","NV","2","2020"
"17005719","7.76","AC","2","2018","11","V","1","2018","10.4","V","1","2018","7.35","AC","2","2018","10","V","1","2018","13.5","V","1","2018","10,002","V","2","2018","10","V","2","2019","14.8","V","1","2019","12.45","V","1","2018","11","V","1","2019","10","V","2","2018","10","V","2","2020","11,375","V","2","2020"
"17005722","9.75","NV","2","2020","10","V","2","2020","8","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020","1","NV","2","2020","4,792","NV","2","2020","7","NV","2","2020","7,306","NV","2","2020","0","NRA","1","2020","10","V","1","2020","","","","","10","V","2","2020","","","1","2020"
"17005766","0","NRA","1","2020","0","NRA","1","2020","10","V","2","2018","0","NRA","1","2020","","","","","0","NRA","1","2020","","","1","2020","0","NRA","1","2020","10.6","V","1","2019","0","NRA","1","2020","0","NRA","1","2020","10","V","2","2018","10","V","2","2018","5.1","NV","2","2020"
"17005814","10","V","2","2020","5.8","NV","2","2020","10","V","2","2019","10","V","2","2020","5","NV","2","2020","10.1","V","1","2019","8,483","NV","2","2020","14","V","1","2019","11","V","1","2019","19","V","1","2019","10","V","2","2019","10","V","2","2019","12","V","1","2019","12,667","V","2","2019"
"17005817","12,375","V","1","2020","3.8","NV","2","2020","10.5","V","1","2020","5","NV","2","2020","0","NRA","1","2020","2","NV","2","2020","5,613","NV","2","2020","10","V","2","2020","10","V","2","2018","12.22","V","1","2019","16","V","1","2019","16","V","1","2019","14","V","1","2019","13,037","V","2","2020"
"17005841","9.5","AC","2","2020","8.2","AC","2","2020","10","V","1","2019","11.5","V","1","2020","7","AC","2","2020","10.1","V","1","2019","9,383","AC","2","2020","10","V","2","2019","10","V","2","2020","10","V","1","2019","10","V","2","2020","13","V","1","2020","11.5","V","1","2018","10.75","V","2","2020"
"17005842","8.5","NV","2","2020","9","NV","2","2020","10","V","2","2020","7","NV","2","2020","6","NV","2","2020","6","NV","2","2020","7.75","NV","2","2020","13","V","1","2019","13","V","1","2019","19","V","1","2019","10","V","2","2020","10","V","2","2020","12","V","1","2019","12,833","V","2","2020"
"17005856","0","NRA","1","2020","10,199","V","1","2018","10,875","V","1","2018","0","NRA","1","2020","10","V","2","2018","13.1","V","1","2018","7,362","NV","2","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NV","2","2020"
"17005864","11","V","1","2020","10","V","2","2020","10","V","2","2019","10","V","2","2020","12","V","1","2020","10","V","2","2020","10.5","V","2","2020","11","V","1","2019","15.8","V","1","2019","15,375","V","1","2020","11.5","V","1","2019","10","V","2","2020","10","V","2","2020","12,279","V","2","2020"
